x_rotor_in,r_rotor_in,theta_rotor_in,x_rotor_out,r_rotor_out,theta_rotor_out,x_stator_in,r_stator_out,theta_stator_in,x_stator_out,r_stator_intheta_stator_out
0.0,0.0,0.1889206,0.5451492523041577,0.12540176937895797,-0.09222783,0.830811902445741,0.15539438740449008,-0.09235288,1.2106715429346597,0.1656399049905462,0.0358979
-9.791451705111179e-05,0.010101010101010185,0.18876299035855554,0.5425824204695839,0.13373771411103302,-0.09374878250370912,0.8345069973380944,0.16316401179719903,-0.09061343775081689,1.2083783562171555,0.17323927816212442,0.03278839893634169
-0.00019582903410222358,0.020202020202020193,0.18860538071711108,0.5400155886350099,0.1420736588431079,-0.0952697350074182,0.8382020922304475,0.17093363618990798,-0.08887399550163377,1.2060851694996515,0.1808386513337025,0.029678897872683446
-0.0001925252222659608,0.030303030303030377,0.18839623967197866,0.5376715141900054,0.15040960357518293,-0.09665354820910263,0.8418651516266441,0.17870326058261693,-0.08731765050326742,1.2041173765547442,0.18843802450528072,0.02668452899147959
-0.00014207980153802335,0.04040404040404039,0.1881630982970147,0.5354371106181101,0.15874554830725798,-0.09796984317033845,0.8455088699423267,0.18647288497532588,-0.08587184846801202,1.2023173855381388,0.19603739767685896,0.023749532488767575
-4.147600668261523e-05,0.050505050505050574,0.18790470125747044,0.5333029954243365,0.16708149303933303,-0.09922508613634767,0.8491393221049922,0.19424250936803483,-0.08449255358438865,1.2006628972297106,0.2036367708484372,0.020868537507732446
0.00014944947074386236,0.06060606060606058,0.18760082558830538,0.5313762995089553,0.17541743777140792,-0.10035405962795237,0.8527296513028465,0.20201213376074362,-0.08331440699908874,1.1993257406539115,0.21123614402001525,0.01810531625512505
0.00034367621511732576,0.07070707070707076,0.18729530902177563,0.529449603593574,0.18375338250348294,-0.1014830331195571,0.856319980500701,0.20978175815345257,-0.08213626041378878,1.1979885840781126,0.2188355171915935,0.015342095002517587
0.0006674710910633673,0.08080808080808077,0.18692539051227866,0.5277980829140878,0.192089327235558,-0.10244685443423551,0.8598613226458973,0.21755138254616152,-0.08116955743975109,1.1970691681324546,0.22643489036317171,0.01274204728989107
0.000991265967009586,0.09090909090909095,0.1865554720027817,0.5261554613118105,0.20042527196763305,-0.10340533478147954,0.8633956572932108,0.22532100693887047,-0.08023310104267119,1.19616522544871,0.23403426353474996,0.01014804358337584
0.00140126688937006,0.10101010101010097,0.18614340761080306,0.5246692839517039,0.20876121669970793,-0.10427128696575796,0.8669007440595179,0.23309063133157942,-0.07940502684933459,1.1955075089929719,0.241633636706328,0.007655716220407373
0.0018507352676318926,0.11111111111111115,0.185712047695744,0.5232875720141733,0.21709716143178295,-0.10507545359941299,0.870376883369274,0.24086025572428837,-0.07868422159397806,1.195007272792986,0.24923300987790625,0.0052284185527533104
0.002340530809029214,0.12121212121212116,0.18526130851375888,0.5219583542184226,0.225433106163858,-0.1058491928138154,0.8738450994193211,0.24862988011699733,-0.07798835343236744,1.1946013627362255,0.25683238304948447,0.0028424831289477525
0.0029083262334766518,0.13131313131313135,0.18477308639381573,0.5208153821385955,0.2337690508959329,-0.10651497757291549,0.8772610225042395,0.2563995045097063,-0.0774570683617457,1.194475840268025,0.26443175622106274,0.0005794983465392464
0.0034761216579240893,0.14141414141414135,0.18428486427387264,0.5196724100587682,0.24210499562800794,-0.1071807623320156,0.8806769455891581,0.26416912890241523,-0.07692578329112397,1.1943503177998245,0.2720311293926408,-0.0016834864358692071
0.004153866430819367,0.15151515151515155,0.18374480001018514,0.5187098668037551,0.25044094036008296,-0.10774432612416533,0.8840451079430454,0.2719387532951242,-0.07651897532606174,1.1945328535558337,0.279630502564219,-0.003802205148288839
0.004832740660136778,0.16161616161616155,0.1832042031972555,0.5177840643766166,0.258776885092158,-0.1082870746006037,0.8873983440083298,0.27970837768783313,-0.07615106921953277,1.1947533909402432,0.2872298757357972,-0.0059031274016250615
0.005577539024459422,0.17171717171717174,0.18263323203916124,0.5169432219572442,0.2671128298242329,-0.10878303467908508,0.8907259987743861,0.2874780020805419,-0.07583713276465659,1.1951408790801752,0.2948292489073755,-0.007920002381784998
0.0063604992403356615,0.18181818181818174,0.1820446779237612,0.5162133710506823,0.27544877455630795,-0.10921787052738118,0.894014214331152,0.29524762647325087,-0.07560640241936399,1.1956789879029142,0.30242862207895355,-0.009861051064338546
0.007169874331152035,0.19191919191919193,0.18144429988092373,0.5154886897493913,0.283784719288383,-0.1096499628210226,0.8973006732425312,0.3030172508659598,-0.07537856979989219,1.1962630777286385,0.31002799525053176,-0.011777051319333457
0.00805001515368359,0.20202020202020193,0.1808122454103633,0.5149343709176241,0.29212066402045783,-0.10999164226459758,0.9005216498515342,0.31078687525866877,-0.07525875542920099,1.1970908134937905,0.31762736842211003,-0.01356032398537885
0.008930155976215323,0.21212121212121213,0.1801801909398029,0.514380052085857,0.3004566087525329,-0.11033332170817256,0.903742626460537,0.3185564996513777,-0.07513894105850978,1.1979185492589426,0.3252267415936881,-0.015343596651424204
0.009891894031376849,0.2222222222222223,0.17951257651941382,0.5139218236039058,0.30879255348460793,-0.11062631375299374,0.9069179032893709,0.3263261240440867,-0.07507497476537942,1.198952816422443,0.3328261147652663,-0.01700380290946407
0.010862141740349832,0.23232323232323232,0.17884125360484135,0.5135225917756201,0.317128498216683,-0.11088941316439606,0.9100696341535,0.3340957484367956,-0.07503978315909086,1.2000420522911415,0.3404254879368445,-0.018631254820438495
